Tweet, Sentiment_Label
b'@cthagod @imFliPs The hell pusha T do?\n Hired an investigator or some shit? \xf0\x9f\x98\x82\xf0\x9f\x98\x82. He surpassed Remy Ma. and she a wom\xe2\x80\xa6 https://t.co/LTOn3H6ees',Negative
b'@biancaptw amiga aqui explica: https://t.co/1OTpot7qxb',Negative
b"RT @Genius: \xe2\x80\x9ci talk in cryptic code. if you're in touch and in tune with the life, then it's gonna mean the world to you. so if you know, y\xe2\x80\xa6",Negative
b'RT @sunfllowerr: Drake only responds lyrically. Pusha is over there tweeting his little heart out. You will never see Drake in some twitter\xe2\x80\xa6',Negative
b'RT @BenjaminEnfield: Ja Rule has finally spoken about the Drake &amp; Pusha T beef https://t.co/3TmY4LsOU0',Negative
b'@Far_FromAveraqe Niggas are mad disrespectful \xf0\x9f\x98\x82 what Pusha T said is rated G compared to what they be saying \xf0\x9f\x92\x80',Negative
b'Pusha T album &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; Kanye\xe2\x80\x99s album',Negative
b'RT @AmeenaRasheed: I just saw that Ja Rule commented on the whole Drake vs. Pusha T beef, which is hilarious to me. \n\nEach time I hear abou\xe2\x80\xa6',Positive
b"CATCH UP MODE: You won't find Pusha T or Kanye dep pon this! HELL RZA &amp; D.E.F. won't stand for it!!!! https://t.co/RXEHiAyG7E",Negative
b'RT @IamAkademiks: Pusha T leading the official fan vote so far on who has had the best track so far between story of adidon and duppy frees\xe2\x80\xa6',Positive
b"....and your boss is also silent on EVERY black issue. i'm confused @PUSHA_T but im still enjoying this beef https://t.co/3JVWHUQnsC",Negative
b'@DaRealMonieLove You gone have to have more arrows to win this war.  Cuz there are a number of people destroying th\xe2\x80\xa6 https://t.co/IC9SYLLlPl',Positive
b'RT @fuckwillie: Women really been on the TL calling Pusha T \xe2\x80\x9cPusha Tea\xe2\x80\x9d for the past 3 days. This is why we don\xe2\x80\x99t involve y\xe2\x80\x99all in shit.',Negative
b'@PUSHA_T @jdoesntcook Just to shut these ignorant fucks up.\n\xe2\x80\x9cNew God Flow\xe2\x80\x9d\n\xe2\x80\x9cMercy\xe2\x80\x9d\n\xe2\x80\x9cMillions\xe2\x80\x9d\n\xe2\x80\x9cTrouble On My Mind\xe2\x80\x9d\xe2\x80\xa6 https://t.co/8UMsH0Sy7o',Negative
b'RT @xowtd: Me waiting on Drake to prevail upon Pusha T wish all his might and glory- thus turning him to dust. https://t.co/VPsV0pMTP4',Negative
b'Someone said \xe2\x80\x9cwho cares if Drake\xe2\x80\x99s BM is a porn star, y\xe2\x80\x99all BMs look like Pusha T \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',Negative
b'RT @IamAkademiks: It\xe2\x80\x99s official . Pusha T wins for having the best diss song between \xe2\x80\x9cduppy freestyle\xe2\x80\x9d and \xe2\x80\x9clife of Adidon\xe2\x80\x9d . He got 172K v\xe2\x80\xa6',Positive
b'Pusha t has never had a more famous moment in his life an thats only cause hes mentioning drake. Hes bout to be not\xe2\x80\xa6 https://t.co/X403UgNlER',Positive
b'RT @2ahtnamas: Trevoh Noah on Pusha T and Drake beef...\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/yrKekgdSNP',Negative
b'PUSHA T | Before They Were Famous | Clipse to Daytona &amp; Drake Beef https://t.co/lk5q1Bik14 via @YouTube',Positive
b'RT @mikelowkey: \xe2\x80\x9cPusha T not even relevant. Drake out-rapped him on Duppy while Pusha T went the TMZ gossip route...\xe2\x80\x9d https://t.co/yD5eU1zO\xe2\x80\xa6',Positive
b'@PUSHA_T THANKS FOR THE CLASSIC PUSH... BACK TO BARS!!!!',Positive
